Date,Action_Target,Price,Position_State,Portfolio_Value
2025-05-20,FLAT,81186.4375,0,94551.48046875
2025-05-21,FLAT,81596.6328125,0,94551.48046875
2025-05-22,FLAT,80951.9921875,0,94551.48046875
2025-05-23,FLAT,81721.078125,0,94551.48046875
2025-05-26,FLAT,82176.453125,0,94551.48046875
2025-05-27,FLAT,81551.6328125,0,94551.48046875
2025-05-28,FLAT,81312.3203125,0,94551.48046875
2025-05-29,FLAT,81633.0234375,0,94551.48046875
2025-05-30,FLAT,81451.0078125,0,94551.48046875
2025-06-02,FLAT,81373.75,0,94551.48046875
2025-06-03,FLAT,80737.5078125,0,94551.48046875
2025-06-04,FLAT,80998.25,0,94551.48046875
2025-06-05,FLAT,81442.0390625,0,94551.48046875
2025-06-06,FLAT,82188.9921875,0,94551.48046875
2025-06-09,FLAT,82445.2109375,0,94551.48046875
2025-06-10,FLAT,82391.71875,0,94551.48046875
2025-06-11,FLAT,82515.140625,0,94551.48046875
2025-06-12,FLAT,81691.9765625,0,94551.48046875
2025-06-13,FLAT,81118.6015625,0,94551.48046875
2025-06-16,FLAT,81796.1484375,0,94551.48046875
2025-06-17,FLAT,81583.296875,0,94551.48046875
2025-06-18,FLAT,81444.65625,0,94551.48046875
2025-06-19,FLAT,81361.8671875,0,94551.48046875
2025-06-20,FLAT,82408.171875,0,94551.48046875
2025-06-23,FLAT,81896.7890625,0,94551.48046875
2025-06-24,FLAT,82055.109375,0,94551.48046875
2025-06-25,FLAT,82755.5078125,0,94551.48046875
2025-06-26,FLAT,83755.8671875,0,94551.48046875
2025-06-27,FLAT,84058.8984375,0,94551.48046875
2025-06-30,FLAT,83606.4609375,0,94551.48046875
2025-07-01,FLAT,83697.2890625,0,94551.48046875
2025-07-02,FLAT,83409.6875,0,94551.48046875
2025-07-03,FLAT,83239.46875,0,94551.48046875
2025-07-04,FLAT,83432.890625,0,94551.48046875
2025-07-07,FLAT,83442.5,0,94551.48046875
2025-07-08,FLAT,83712.5078125,0,94551.48046875
2025-07-09,FLAT,83536.078125,0,94551.48046875
2025-07-10,FLAT,83190.28125,0,94551.48046875
2025-07-11,FLAT,82500.46875,0,94551.48046875
2025-07-14,FLAT,82253.4609375,0,94551.48046875
2025-07-15,FLAT,82570.90625,0,94551.48046875
2025-07-16,FLAT,82634.4765625,0,94551.48046875
2025-07-17,FLAT,82259.2421875,0,94551.48046875
2025-07-18,SHORT,81757.7265625,-1,94108.86328125
2025-07-21,FLAT,82200.34375,0,94103.86328125
2025-07-22,SHORT,82186.8125,-1,93564.03515625
2025-07-23,FLAT,82726.640625,0,93559.03515625
2025-07-24,SHORT,82184.171875,-1,94280.11328125
2025-07-25,LONG,81463.09375,1,93703.04296875
2025-07-28,SHORT,80891.0234375,-1,93251.11328125
2025-07-29,FLAT,81337.953125,0,93246.11328125
2025-07-30,SHORT,81481.859375,-1,93542.39453125
2025-07-31,LONG,81185.578125,1,92951.72265625
2025-08-01,SHORT,80599.90625,-1,92527.91015625
2025-08-04,LONG,81018.71875,1,92214.44140625
2025-08-05,SHORT,80710.25,-1,92375.69921875
2025-08-06,SHORT,80543.9921875,-1,92296.43359375
2025-08-07,LONG,80623.2578125,1,91525.96484375
2025-08-08,SHORT,79857.7890625,-1,90774.67578125
2025-08-11,FLAT,80604.078125,0,90769.67578125
2025-08-12,SHORT,80235.59375,-1,90465.36328125
2025-08-13,LONG,80539.90625,1,90518.11328125
2025-08-14,SHORT,80597.65625,-1,89837.01953125
2025-08-18,FLAT,81273.75,0,89832.01953125
2025-08-19,FLAT,81644.390625,0,89832.01953125
2025-08-20,FLAT,81857.84375,0,89832.01953125
2025-08-21,FLAT,82000.7109375,0,89832.01953125
2025-08-22,FLAT,81306.8515625,0,89832.01953125
2025-08-25,FLAT,81635.90625,0,89832.01953125
2025-08-26,FLAT,80786.5390625,0,89832.01953125
2025-08-28,FLAT,80080.5703125,0,89832.01953125
